Unique ID,Name,URL,Organisations,,,,Typology,Keywords / theme,Platform/Portal/Real time analysis/Tool,Description,"Primary role (data provision (access and viz), decision support, custom analytics, action maps) etc",,,,Data sources,"Level of data access (visualisation only, lin to underlying data, direct download)","Technology (open source, licenced, api, web services ertc)",,,Country,Spatial scale,Commodity data,Update frequency,Intended users,Training required for use? (capacity building),,Availability,,,,,,,,,,,,,,,,Unique ID check,
39 TTI,China Data Online / Direction of Trade Statistics,https://economics.uwo.ca/china_group/data_statistics.html,Western Social Science Department of Economics,,,,Other - Statistics; Visualisation / dashboard; Other - repository; Library/catalogue,Trade,,"The Social Science Centre Network & Data Services have added two valuable databases to their roster of online resources. China Data Online gives researchers access to a vast amount of previously hard-to-obtain information on China’s economic development. It provides statistics at national, provincial and local levels, industrial and census data, themed atlases and maps, and much more. The IMF’s Direction of Trade Statistics (DOTS) contains time series of annual, quarterly, and monthly trade data for most IMF member countries. They include the value of merchandise exports and imports for each country and all its trading partners, as well as area and world aggregates showing trade flows between major regions of the world.
Subscriptions for China Data Online and the Direction of Trade Statistics were paid for with funds granted by the Social Science Student Donation Fund.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data China,,,,,,,,,,,39 TTI,
40 TTI,General Administration of Customs People's Republic of China,http://english.customs.gov.cn/statics/report/preliminary.html,General Administration of Customs People's Republic of China,,,,Other - Statistics,Trade; China,,"The General Administration of Customs of the People’s Republic of China (GACC), the headquarters of China Customs, is a key border agency of the nation. Following the government restructuring in 2018, China Customs now boasts 100,000 staff throughout the country with responsibilities of traditional customs, as well as border health checks, inspection and quarantine for imported and exported animals, plants, and their products, imported and exported food safety, and commodity inspection.",,,,,,,,,,China,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data China,,,,,,,,,,,40 TTI,
41 TTI,Export Potential Map,exportpotential.intracen.org ,,,,,Decision-support tool; Data portal; Visualisation / dashboard; Data services; Model,Trade,,"The Export Potential Map is a free tool that turns economic analysis into practical trade information using the ITC export potential methodology.
Using the Map’s customizable and shareable visualizations, you can spot: products, markets and suppliers with (untapped) export potential
opportunities for export diversification. The Export Potential Map identifies products, markets and suppliers with (untapped) export potential as well as opportunities for export diversification for 226 countries and territories and 4,377 products.
Based on the ITC export potential methodology, it evaluates export performance, the target market's demand and market access conditions as well as bilateral links between the exporting country and target market to provide a unique ranking of untapped opportunities.
Customized versions of Export Potential Map have been created for Malawi, Greece and Bahrain.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data visualisation,,,,,,,,,,,41 TTI,
43 TTI,Figure.nz,figure.nz ,Figure's 20,"New Zealand Trade and Enterprise; Spark; Vector; New Zealand Tourism; InternetNZ; The Tindall Foundation; IAG; Victoria University Wellington; New Zealand Treasury; New Zealand Transport Agency; The Warehouse Group; Callaghan Innovation; Inland Revenue; New Zealand Defence Force; Aukland Tourism, Events and Economic Development; Financial Markets Authority; Westpac",,,Other - Statistics; Visualisation / dashboard,Trade; New Zealand,,"The Figure’s 20 is a group of public, private and philanthropic organisations that have come together to support and engage Figure.NZ, and to work with each other to advance the use of data in New Zealand.

We’re honoured to have the support of these folk, who are committed to promoting data use in Aotearoa by:

boosting data literacy within their organisations to help people use data, and use it well
allowing more public data to become available for everyone for free, and making it easy to find and use
leading by example to inspire all New Zealanders to engage with data.Figure.NZ is more than the website you see at figure.nz. Behind the scenes, Figure.NZ has built a custom web application called Grace which lets us take spreadsheets of data that aren’t machine readable, and convert them into tidy, useful formats that we publish for everyone. We then use this data to create charts, maps, and other content.

Grace and figure.nz run on a bespoke technology stack, initially developed in-house as a result of a two year requirements-gathering process. Hosted on Amazon Web Services in Sydney, both applications are built using Python/Flask. Our primary data store is PostgreSQL, and search is powered by ElasticSearch. On the frontend, we use d3/vega for chart rendering, while our UI is built using React.",,,,,,,,,,New Zealand,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Gabon,,,,,,,,,,,43 TTI,
44 TTI,FRED (Federal Reserve Economic Data),fred.stlouisfed.org ,Federal Reserve of St Louis,,,,Data source; Data portal; Other - Statistics; Visualisation / dashboard; Digital reports,Trade,,"Download, graph, and track 767,000 US and international time series from 102 sources.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Gabon,,,,,,,,,,,44 TTI,
45 TTI,Digital look,finance.digitallook.com ,,,,,Data portal; Data services,Trade; Historical,,Mostly finacial information but some historical commodities data,,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data rubber,,,,,,,,,,,45 TTI,
46 TTI,Fur Commission USA,https://furcommission.com/fur-industry-statistics/,Fur Commission USA,,,,Other - Statistics; Digital reports; Data portal,Trade; Mink,,Data and statistics on the farmed mink market,,,,,,,,,,USA,,Skins,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data animal skins,,,,,,,,,,,46 TTI,
47 TTI,Trading Charts,futures.tradingcharts.com ,Intercontinental Exchange,,,,Data services,Trade; Prices,,"Stock and comodity prices. TradingCharts is the leading source for free futures and commodity prices / quotes and charts, and other market information including futures and commodity news. TradingCharts tracks many commodities and financial indicators, making the information available in the form of free commodity charts and intraday commodity quotes.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data cocoa,,,,,,,,,,,47 TTI,
48 TTI,Gabon Data Portal,gabon.opendataforafrica.org ,African Development Bank,,,African Development Bank,Data portal,Trade; Gabon,,,,,,,,,,,,Gabon,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Gabon,,,,,,,,,,,48 TTI,
49 TTI,United Nations Conference on Trade and Development,https://unctad.org/statistics,,,,,Data platform; Flexible analysis platform; Data portal; Visualisation / dashboard; Other - Statistics,Trade,,"All statistics of UNCTAD are harmonized and integrated into UNCTADstat- free to use dissemination platform. It gives access to basic and derived indicators built upon common rules, harmonized environment and clear methodology supported by powerful data browsing system. Reliable statistical information – statistics and indicators used in the analysis of international trade, investment and development – is indispensable for the formulation of sound economic policies and recommendations. This, in turn, is essential to fostering social and economic development.
UNCTAD compiles, validates and processes a wide range of data collected from national and international sources. Most time-series data cover extended periods of time, with some dating back to 1948, for almost all the economies of the world.
This allows the analysis of emerging and urgent issues within a framework of long-lasting tendencies and wide geographical scope. In case of missing data or a break in series, UNCTAD applies its expertise and methodology to make estimates. Such continuity together with accurateness and timeliness are the pillars of UNCTAD’s statistics.
Our statistics are grounded in continuity, accuracy and timeliness. UNCTAD’s statistical work also conforms to the United Nations principles governing international statistical activities, formulated with significant contributions from us. It is supported by the UNCTAD Statistics Quality Assurance Framework.
UNCTAD produces more than 150 indicators and statistical time series essential for the analysis of international trade, economic trends, foreign direct investment, external financial resources, population and labour force, commodities, the information economy and maritime transport.
The statistical series are regularly updated and classified into easy-to-navigate themes. UNCTADstat offers ready-to-use analytical groupings, with a unique coverage for countries and products and a particular focus on developing and transition economies. This approach ensures data consistency across multiple data series, and enables users to harness its full potential by mixing and matching data from various domains.",,,,,,,,,,,,,,,,,,,,,,Trade Tools Inventory JP 2020; search term: Trade data Gabon,,,,,,,,,,,49 TTI,
